School Year,ULCS Code,School Name,School Level,Average Daily Attendance
2013-2014,1010,John Bartram High School,High,82.59999999999999
2013-2014,1020,West Philadelphia High School,High,83.8
2013-2014,1030,High School of the Future,High,91.8
2013-2014,1050,Paul Robeson High School for Human Services,High,91.7
2013-2014,1100,William L. Sayre High School,High,83.7
2013-2014,1130,William T. Tilden School,Middle,85.40000000000001
2013-2014,1190,Motivation High School,High,94.5
2013-2014,1200,John Barry School,Elementary-Middle,92.3
2013-2014,1230,William C. Bryant School,Elementary-Middle,90.7
2013-2014,1250,Joseph W. Catharine School,Elementary,93.9
2013-2014,1260,Benjamin B. Comegys School,Elementary-Middle,91.8
2013-2014,1280,Sadie Alexander School,Elementary-Middle,97.7
2013-2014,1290,Andrew Hamilton School,Elementary-Middle,94.09999999999999
2013-2014,1300,Avery D. Harrington School,Elementary-Middle,94.59999999999999
2013-2014,1330,Samuel B. Huey School,Elementary-Middle,90.90000000000001
2013-2014,1340,Henry C. Lea School,Elementary-Middle,93.2
2013-2014,1350,William C. Longstreth School,Elementary-Middle,92.59999999999999
2013-2014,1360,Morton McMichael School,Elementary-Middle,92.0
2013-2014,1370,S. Weir Mitchell School,Elementary,91.5
2013-2014,1380,Thomas G. Morton School,Elementary,92.9
2013-2014,1390,Samuel Powel School,Elementary,95.59999999999999
2013-2014,1400,John M. Patterson School,Elementary,94.5
2013-2014,1410,James Rhoads School,Elementary-Middle,89.8
2013-2014,1420,Martha Washington School,Elementary-Middle,93.09999999999999
2013-2014,1440,Penrose School,Elementary-Middle,94.09999999999999
2013-2014,1460,Add B. Anderson School,Elementary-Middle,93.0
2013-2014,1470,Alain Locke School,Elementary-Middle,91.09999999999999
2013-2014,1490,Rudolph Blankenburg School,Elementary-Middle,91.09999999999999
2013-2014,1580,Middle Years Alternative School,Middle,92.8
2013-2014,2000,South Philadelphia High School,High,83.09999999999999
2013-2014,2010,Benjamin Franklin High School,High,78.3
2013-2014,2020,High School for Creative and Performing Arts School,High,94.8
2013-2014,2140,Julia R. Masterman School,Middle-High,98.3
2013-2014,2160,Furness High School,High,88.09999999999999
2013-2014,2190,D. Newlin Fell School,Elementary-Middle,94.2
2013-2014,2210,Bache-Martin School,Elementary-Middle,94.8
2013-2014,2240,F. Amedee Bregy School,Elementary-Middle,93.5
2013-2014,2260,George W. Childs School,Elementary-Middle,93.4
2013-2014,2290,Franklin Learning Center,High,92.59999999999999
2013-2014,2320,Stephen Girard School,Elementary,93.4
2013-2014,2340,General George A. McCall School,Elementary-Middle,97.3
2013-2014,2370,Delaplaine McDaniel School,Elementary-Middle,92.0
2013-2014,2380,William M. Meredith School,Elementary-Middle,97.0
2013-2014,2390,Robert Morris School,Elementary-Middle,91.7
2013-2014,2410,Girard Academic Music Program,Middle-High,96.40000000000001
2013-2014,2450,Edwin M. Stanton School,Elementary-Middle,94.4
2013-2014,2470,Albert M. Greenfield School,Elementary-Middle,96.09999999999999
2013-2014,2480,Chester A. Arthur School,Elementary-Middle,94.59999999999999
2013-2014,2490,Laura W. Waring School,Elementary-Middle,94.8
2013-2014,2510,Andrew Jackson School,Elementary-Middle,95.59999999999999
2013-2014,2520,Abram S. Jenks School,Elementary,95.59999999999999
2013-2014,2540,Francis S. Key School,Elementary,95.4
2013-2014,2580,Eliza B. Kirkbride School,Elementary-Middle,97.3
2013-2014,2590,George W. Nebinger School,Elementary-Middle,94.8
2013-2014,2620,Academy at Palumbo,High,96.40000000000001
